,starting_time_stamp,coordinates_of_starting_location,coordinates_of_destination,estimate_travel_time_minutes
56,2017-04-01 15:50:24, 116.420134 40.089985, 116.398231 40.115713,17.0
57,2017-04-01 17:11:37, 116.420682 40.093159, 116.321589 40.069462,192.0
58,2017-04-01 17:29:59, 116.408015 40.094669, 116.321579 40.069496,41.0
59,2017-04-01 18:31:43, 116.322811 40.071449, 116.421517 40.095346,192.0
60,2017-04-01 21:02:05, 116.363136 39.916364, 116.59459 40.086799,89.0
61,2017-04-01 17:48:11, 116.334319 39.795133, 116.296951 39.824281,14.0
62,2017-04-01 18:01:15, 116.334319 39.795133, 116.296951 39.824281,14.0
63,2017-04-01 09:13:34, 116.425757 39.937757, 116.419372 39.984947,17.0
64,2017-04-01 09:25:13, 116.425757 39.937757, 116.419372 39.984947,17.0
65,2017-04-01 21:20:42, 116.448601 39.942148, 116.44755 39.941761,2.0
66,2017-04-01 19:39:00, 116.480967 39.890578, 116.377195 39.89736,28.0
67,2017-04-01 20:03:01, 116.480985 39.890509, 116.480886 39.890502,0.0
68,2017-04-01 09:27:22, 116.479844 39.896377, 116.486478 39.983405,50.0
69,2017-04-01 09:49:35, 116.487956 39.989429, 116.486478 39.983405,14.0
70,2017-04-01 17:33:31, 116.483752 39.899657, 116.483655 39.895847,9.0
71,2017-04-01 18:44:53, 116.496481 39.975746, 116.37918 39.954759,53.0
72,2017-04-01 11:25:31, 116.466055 39.904417, 116.470239 39.982692,45.0
73,2017-04-01 07:30:44, 116.435683 39.903061, 116.475846 39.950582,32.0
74,2017-04-01 09:01:10, 116.475685 39.950258, 116.475846 39.950582,0.0
75,2017-04-01 14:22:22, 116.445403 39.905863, 116.449706 39.935017,16.0
76,2017-04-01 14:41:18, 116.441163 39.936166, 116.449706 39.935017,16.0
77,2017-04-01 17:16:55, 116.449023 39.929672, 116.435854 39.902011,17.0
78,2017-04-01 08:50:22, 116.443741 40.007268, 116.483601 39.892219,68.0
79,2017-04-01 08:33:56, 116.273719 40.007876, 116.345393 39.980776,35.0
80,2017-04-01 10:17:07, 116.281399 40.008304, 116.345393 39.980776,32.0
81,2017-04-01 10:55:13, 116.342349 39.981841, 116.345393 39.980776,6.0
82,2017-04-01 11:56:24, 116.340598 39.988551, 116.337984 39.986762,6.0
83,2017-04-01 13:03:49, 116.339978 39.988869, 116.450784 39.884679,77.0
84,2017-04-01 14:13:29, 116.406084 39.983168, 116.438885 39.996475,16.0
85,2017-04-01 14:34:29, 116.442079 39.995862, 116.438885 39.996475,1.0
86,2017-04-01 16:08:09, 116.438885 39.996475, 116.431355 40.070854,43.0
87,2017-04-01 11:10:14, 116.339412 39.747771, 116.355959 39.721592,10.0
88,2017-04-01 17:44:50, 116.37726 39.982199, 116.502721 39.978276,55.0
89,2017-04-01 17:02:07, 116.56751 40.107059, 116.59459 40.086799,16.0
90,2017-04-01 17:42:39, 116.585683 40.064335, 116.59459 40.086799,8.0
91,2017-04-01 17:29:14, 116.592509 40.084768, 116.59459 40.086799,6.0
92,2017-04-01 14:32:07, 116.498071 39.90414, 116.352014 39.738138,72.0
93,2017-04-01 16:39:07, 116.498044 39.904126, 116.481775 39.889845,10.0
94,2017-04-01 18:34:03, 116.421822 39.823302, 116.621192 40.061075,102.0
95,2017-04-01 17:21:40, 116.399886 39.945336, 116.399809 39.945374,0.0
96,2017-04-01 15:23:14, 116.442412 39.838076, 116.711884 39.855412,75.0
97,2017-04-01 17:10:28, 116.284705 40.039377, 116.349635 40.052902,18.0
98,2017-04-01 05:47:33, 116.479395 39.90834, 116.378174 39.995675,42.0
99,2017-04-01 18:22:47, 116.44322 39.959765, 116.424264 39.907479,31.0
100,2017-04-01 11:25:04, 116.583976 39.920439, 116.414161 40.009037,57.0
101,2017-04-01 17:23:37, 116.273737 40.129557, 116.196328 39.99698,84.0
102,2017-04-01 18:23:29, 116.520483 39.914946, 116.339888 39.699614,148.0
103,2017-04-01 21:11:22, 116.422649 39.8577, 116.344027 39.998407,55.0
104,2017-04-01 13:08:32, 116.32512 39.979602, 116.364744 39.918321,24.0
105,2017-04-01 12:44:15, 116.470241 39.941207, 116.459343 39.938159,21.0
106,2017-04-01 14:27:05, 116.214278 39.915991, 116.239224 39.956211,25.0
107,2017-04-01 16:04:32, 116.218823 39.914296, 116.401561 39.857972,87.0
108,2017-04-01 17:13:17, 116.326584 39.897394, 116.219284 39.912914,48.0
109,2017-04-01 17:56:13, 116.214502 39.914981, 116.17813 39.929223,18.0
110,2017-04-01 20:09:03, 116.182693 39.931574, 116.17813 39.929223,10.0
111,2017-04-01 20:21:05, 116.177196 39.929354, 116.178103 39.929838,2.0
112,2017-04-01 22:18:42, 116.183565 39.931643, 116.184582 39.931946,2.0
113,2017-04-01 16:03:23, 116.397038 39.863723, 116.399293 39.86355,4.0
114,2017-04-01 18:07:53, 116.484821 39.925695, 116.46139 39.91942,6.0
115,2017-04-01 08:15:45, 116.342448 40.10181, 116.318735 40.109375,7.0
116,2017-04-01 15:27:40, 116.352904 39.85385, 116.330771 39.983396,47.0
117,2017-04-01 15:26:03, 116.328435 39.90522, 116.296266 39.87266,23.0
118,2017-04-01 09:45:35, 116.550945 39.9003, 116.673602 39.686053,135.0
119,2017-04-01 11:06:54, 116.314619 39.912961, 116.313634 39.914859,4.0
120,2017-04-01 11:19:43, 116.313765 39.914469, 116.315957 39.933876,11.0
121,2017-04-01 19:03:32, 116.274833 40.037851, 116.219263 40.042166,24.0
122,2017-04-01 14:44:03, 116.454202 39.97902, 116.486794 39.992798,10.0
123,2017-04-01 19:51:32, 116.353578 40.072975, 116.267413 39.868555,124.0
124,2017-04-01 22:12:11, 116.279432 39.871843, 116.267413 39.868555,23.0
125,2017-04-01 16:37:24, 116.47025 39.876674, 116.476178 39.87328,13.0
126,2017-04-01 14:08:14, 116.489411 39.99535, 116.354051 39.982449,37.0
127,2017-04-01 16:33:44, 116.414546 40.084941, 116.401561 39.857972,131.0
128,2017-04-01 17:04:57, 116.418957 40.08158, 116.433587 39.911171,98.0
129,2017-04-01 17:41:15, 116.425182 39.907627, 116.401561 39.857972,30.0
130,2017-04-01 17:52:27, 116.391307 39.894723, 116.399773 39.883838,30.0
131,2017-04-01 11:20:27, 116.370089 39.994936, 116.369685 39.997589,6.0
132,2017-04-01 14:13:09, 116.297452 39.928414, 116.323028 39.98912,36.0
133,2017-04-01 18:34:39, 116.317951 40.017554, 116.403244 39.999371,39.0
134,2017-04-01 19:02:25, 116.319946 40.006025, 116.295928 39.926871,29.0
135,2017-04-01 20:25:57, 116.294802 39.959709, 116.297398 39.928725,11.0
136,2017-04-01 08:52:38, 116.457755 39.887789, 116.441215 40.004725,42.0
137,2017-04-01 10:22:24, 116.424032 39.915188, 116.441215 40.004725,32.0
138,2017-04-01 12:43:13, 116.440786 40.004553, 116.327765 39.900515,49.0
139,2017-04-01 14:27:30, 116.356857 39.903019, 116.453664 39.976802,37.0
140,2017-04-01 16:36:01, 116.452446 39.976464, 116.458434 39.887897,32.0
141,2017-04-01 18:54:13, 116.445259 39.859784, 116.458434 39.887897,10.0
142,2017-04-01 13:38:20, 116.383707 39.998204, 116.314106 40.069232,32.0
143,2017-04-01 21:14:32, 116.289089 39.931381, 116.316544 39.862144,41.0
144,2017-04-01 21:41:50, 116.289098 39.931367, 116.243086 39.910167,14.0
145,2017-04-01 21:52:55, 116.289098 39.931367, 116.316544 39.862144,41.0
146,2017-04-01 19:09:12, 116.603711 39.842688, 116.344027 39.998407,91.0
147,2017-04-01 15:19:32, 116.386905 39.974377, 116.325056 40.079898,41.0
148,2017-04-01 16:08:57, 116.324626 40.08038, 116.221881 40.130379,33.0
149,2017-04-01 08:49:14, 116.478955 39.993133, 116.711884 39.941514,67.0
150,2017-04-01 11:18:27, 116.658481 39.928614, 116.591723 39.933724,18.0
151,2017-04-01 11:52:12, 116.596581 39.929447, 116.585316 39.920477,30.0
152,2017-04-01 19:51:39, 116.698051 39.768045, 116.601174 39.762663,27.0
153,2017-04-01 21:09:24, 116.430967 39.983804, 116.430518 39.974636,22.0
154,2017-04-01 23:39:48, 116.430527 39.995599, 116.424925 39.871186,45.0
155,2017-04-01 22:11:02, 116.097752 39.699982, 116.357243 39.88255,156.0
156,2017-04-01 11:42:31, 116.502116 39.80336, 116.507805 39.81125,21.0
157,2017-04-01 11:26:14, 116.50938 39.812052, 116.507805 39.81125,3.0
158,2017-04-01 12:06:07, 116.507988 39.811027, 116.526098 39.792727,13.0
159,2017-04-01 12:21:58, 116.507826 39.810286, 116.526107 39.792734,12.0
160,2017-04-01 12:37:15, 116.510755 39.809794, 116.526107 39.792734,11.0
161,2017-04-01 12:55:34, 116.510746 39.809821, 116.526107 39.792734,12.0
162,2017-04-01 13:38:39, 116.525774 39.792318, 116.497398 39.805511,14.0
163,2017-04-01 14:39:39, 116.499831 39.804126, 116.526107 39.792734,55.0
164,2017-04-01 20:11:20, 116.416244 39.86544, 116.196328 39.99698,124.0
165,2017-04-01 09:16:58, 116.406704 39.994901, 116.347454 39.950366,23.0
166,2017-04-01 14:16:07, 116.687265 39.881006, 116.677598 39.892751,5.0
167,2017-04-01 14:34:55, 116.650252 39.913293, 116.711884 39.892107,18.0
168,2017-04-01 19:48:04, 116.433249 39.869621, 116.417315 39.848729,8.0
169,2017-04-01 20:51:51, 116.435951 39.853678, 116.436683 39.837801,5.0
170,2017-04-01 10:19:21, 116.678369 39.893312, 116.690682 39.891379,23.0
171,2017-04-01 14:48:18, 116.686454 39.890115, 116.690682 39.891379,8.0
172,2017-04-01 10:19:54, 116.426026 39.893, 116.401561 39.857972,22.0
173,2017-04-01 11:47:54, 116.311034 39.885277, 116.318856 39.885098,14.0
174,2017-04-01 20:43:35, 116.275569 40.043589, 116.315957 39.933876,66.0
175,2017-04-01 21:26:56, 116.275596 40.043609, 116.315957 39.933876,66.0
176,2017-04-01 19:04:19, 116.353794 39.918045, 116.35303 39.914905,7.0
177,2017-04-01 10:47:56, 116.299356 39.827091, 116.49551 39.964918,73.0
178,2017-04-01 11:52:33, 116.299231 39.827493, 116.49551 39.964918,73.0
179,2017-04-01 13:29:23, 116.403192 39.929866, 116.403827 39.915057,8.0
180,2017-04-01 19:16:16, 116.38404 39.912131, 116.385093 39.910161,5.0
181,2017-04-01 19:53:45, 116.382513 39.913936, 116.460609 39.899579,35.0
182,2017-04-01 06:43:55, 116.260837 39.85232, 116.331274 39.846477,31.0
183,2017-04-01 06:58:55, 116.26196 39.853352, 116.330564 39.846677,30.0
184,2017-04-01 07:37:13, 116.3336 39.855152, 116.330564 39.846677,21.0
185,2017-04-01 07:55:57, 116.33165 39.846365, 116.330564 39.846677,2.0
186,2017-04-01 13:44:48, 116.330087 39.84766, 116.441273 39.943915,74.0
187,2017-04-01 14:13:14, 116.327006 39.84721, 116.441273 39.943915,75.0
188,2017-04-01 19:58:52, 116.44278 39.908464, 116.261798 39.853352,86.0
189,2017-04-01 17:05:01, 116.388576 39.89545, 116.401561 39.857972,22.0
190,2017-04-01 09:11:51, 116.477553 40.000919, 116.480257 40.029875,16.0
191,2017-04-01 11:21:47, 116.464792 40.023393, 116.486309 39.917117,38.0
192,2017-04-01 07:04:44, 116.465724 39.835302, 116.42622 40.051251,78.0
193,2017-04-01 14:44:50, 116.496615 39.980507, 116.331107 39.886502,57.0
194,2017-04-01 07:48:23, 116.460629 39.856973, 116.454054 39.978365,70.0
195,2017-04-01 08:27:11, 116.461806 39.986312, 116.463665 39.990472,10.0
196,2017-04-01 10:11:50, 116.475011 39.985994, 116.483812 39.988419,17.0
197,2017-04-01 14:05:47, 116.495465 39.996152, 116.480554 39.999897,29.0
198,2017-04-01 11:01:50, 116.474957 39.996553, 116.332414 39.792291,83.0
199,2017-04-01 11:31:03, 116.48438 39.916441, 116.332414 39.792291,61.0
200,2017-04-01 07:24:19, 116.49525 39.964617, 116.499193 39.962613,8.0
201,2017-04-01 18:21:08, 116.499265 39.964051, 116.635613 40.032654,72.0
202,2017-04-01 20:44:49, 116.361771 39.970645, 116.360985 39.973464,6.0
203,2017-04-01 08:15:49, 116.347003 39.9962, 116.379449 40.067467,27.0
204,2017-04-01 15:27:57, 116.346949 40.006584, 116.360465 40.014328,7.0
205,2017-04-01 17:37:35, 116.358707 40.006729, 116.406138 39.990549,23.0
206,2017-04-01 10:28:21, 116.711884 39.937076, 116.495476 39.924602,96.0
207,2017-04-01 11:01:53, 116.471256 39.913881, 116.436528 39.939977,21.0
208,2017-04-01 14:44:08, 116.485818 39.928455, 116.495476 39.924602,20.0
209,2017-04-01 15:21:26, 116.494855 39.92528, 116.461764 39.946414,19.0
210,2017-04-01 16:55:21, 116.461483 39.939472, 116.457991 39.798018,51.0
211,2017-04-01 19:25:01, 116.461968 39.939264, 116.495476 39.924602,71.0
212,2017-04-01 20:18:15, 116.495483 39.926429, 116.509504 39.927358,26.0
213,2017-04-01 21:16:00, 116.495322 39.924817, 116.410073 40.134237,127.0
214,2017-04-01 22:21:55, 116.495789 39.926221, 116.401561 39.857972,57.0
215,2017-04-01 10:58:38, 116.514366 39.984218, 116.372761 39.860244,59.0
216,2017-04-01 12:08:22, 116.372946 39.860981, 116.41813 39.90669,20.0
217,2017-04-01 13:58:18, 116.406075 39.872327, 116.512315 39.985698,50.0
218,2017-04-01 16:59:42, 116.462552 39.953266, 116.461764 39.946414,16.0
219,2017-04-01 16:15:00, 116.443472 39.86085, 116.423116 39.955112,55.0
220,2017-04-01 18:10:34, 116.421885 39.954427, 116.400213 39.951037,6.0
221,2017-04-01 18:23:28, 116.42202 39.954497, 116.422097 39.954473,0.0
222,2017-04-01 19:57:12, 116.414771 39.954365, 116.414013 39.959261,11.0
223,2017-04-01 20:47:11, 116.423367 39.945045, 116.442749 39.858136,50.0
224,2017-04-01 22:19:12, 116.555787 40.07722, 116.521347 40.180569,38.0
225,2017-04-01 01:48:04, 116.368759 39.957905, 116.384318 39.872251,50.0
226,2017-04-01 10:43:34, 116.385639 39.872867, 116.384794 39.871009,1.0
227,2017-04-01 09:59:25, 116.362112 39.946262, 116.46595 39.955498,29.0
228,2017-04-01 14:59:06, 116.383986 39.872715, 116.492596 39.926797,35.0
229,2017-04-01 00:16:26, 116.484847 39.932141, 116.487929 39.929569,8.0
230,2017-04-01 21:41:33, 116.341792 39.959619, 116.471912 39.900161,42.0
231,2017-04-01 14:32:55, 116.381902 39.911688, 116.367035 39.987929,27.0
232,2017-04-01 22:30:18, 116.382396 39.911813, 116.325838 39.925723,110.0
233,2017-04-01 09:43:08, 116.65027 39.886004, 116.588458 39.916434,20.0
234,2017-04-01 21:54:33, 116.533509 39.850935, 116.262831 39.956367,84.0
235,2017-04-01 19:55:29, 116.445592 39.899857, 116.28458 40.180569,111.0
236,2017-04-01 17:46:15, 116.292538 39.839212, 116.460001 40.026878,82.0
237,2017-04-01 08:17:20, 116.416406 40.014224, 116.343575 39.908084,43.0
238,2017-04-01 09:26:37, 116.343535 39.908499, 116.413816 40.012152,42.0
239,2017-04-01 11:01:26, 116.416397 40.012622, 116.377864 40.106227,35.0
240,2017-04-01 11:18:34, 116.416397 40.014224, 116.377864 40.106227,35.0
241,2017-04-01 12:55:21, 116.416217 40.012484, 116.343575 39.908084,42.0
242,2017-04-01 14:58:51, 116.39243 39.996145, 116.600006 40.086066,66.0
243,2017-04-01 17:56:19, 116.236938 39.851279, 116.324643 40.038804,72.0
244,2017-04-01 18:20:39, 116.298431 40.021946, 116.324643 40.038804,9.0
245,2017-04-01 22:04:25, 116.330878 40.030545, 116.703958 39.99303,104.0
246,2017-04-01 22:00:43, 116.417079 39.897429, 116.570517 39.85348,72.0
247,2017-04-01 22:14:12, 116.506048 39.896744, 116.274225 39.858164,105.0
248,2017-04-01 12:00:02, 116.348673 40.006336, 116.384794 39.871009,79.0
249,2017-04-01 09:13:03, 116.422931 40.118453, 116.329445 40.092707,27.0
250,2017-04-01 10:31:42, 116.330959 40.092593, 116.35047 40.06603,11.0
251,2017-04-01 13:30:55, 116.340377 40.064173, 116.419172 40.12475,31.0
252,2017-04-01 15:42:12, 116.340377 40.064173, 116.329445 40.092707,10.0
253,2017-04-01 14:49:33, 116.321886 39.979346, 116.484345 39.925896,49.0
254,2017-04-01 15:44:16, 116.321904 39.979339, 116.484345 39.925896,49.0
255,2017-04-01 16:43:06, 116.323485 39.979609, 116.251692 39.908886,32.0
256,2017-04-01 20:09:12, 116.247057 39.909924, 116.231968 39.912347,28.0
257,2017-04-01 20:29:37, 116.241056 39.913051, 116.231968 39.912347,16.0
258,2017-04-01 21:05:29, 116.233079 39.912345, 116.321041 39.889077,41.0
259,2017-04-01 21:17:31, 116.234687 39.909454, 116.321041 39.889077,40.0
260,2017-04-01 17:05:54, 116.366172 39.920764, 116.594526 40.086274,139.0
261,2017-04-01 09:35:50, 116.465651 39.934341, 116.469382 39.91193,8.0
262,2017-04-01 10:04:40, 116.468166 39.912705, 116.469771 39.913172,3.0
263,2017-04-01 10:26:48, 116.475568 39.936381, 116.463682 39.912722,9.0
264,2017-04-01 10:40:56, 116.476817 39.9155, 116.467317 39.921448,22.0
265,2017-04-01 11:05:48, 116.468373 39.920764, 116.463682 39.912722,21.0
266,2017-04-01 11:41:48, 116.464303 39.912574, 116.469771 39.913172,10.0
267,2017-04-01 12:10:52, 116.468552 39.917444, 116.48059 39.956813,14.0
268,2017-04-01 13:14:23, 116.414214 39.968661, 116.43535 39.898754,25.0
269,2017-04-01 13:48:30, 116.434524 39.899221, 116.388694 39.888511,13.0
270,2017-04-01 15:55:18, 116.467636 39.868756, 116.353796 39.889185,52.0
271,2017-04-01 23:26:00, 116.460225 39.875408, 116.188847 39.968852,132.0
272,2017-04-01 07:50:01, 116.570456 40.015723, 116.349053 39.980908,100.0
273,2017-04-01 10:57:54, 116.478389 39.851261, 116.416593 39.861044,28.0
274,2017-04-01 17:21:24, 116.267188 39.902334, 116.427042 39.867773,46.0
275,2017-04-01 08:32:30, 116.362283 40.069917, 116.476614 39.999217,65.0
276,2017-04-01 10:13:55, 116.326683 39.981979, 116.319767 39.985027,14.0
277,2017-04-01 11:01:26, 116.319389 39.984336, 116.319767 39.985027,1.0
278,2017-04-01 22:18:02, 116.362373 40.070035, 116.359796 40.021612,28.0
279,2017-04-01 10:59:41, 116.430347 39.910962, 116.424032 39.983272,41.0
280,2017-04-01 11:34:21, 116.425119 39.983866, 116.425028 39.933521,29.0
281,2017-04-01 12:05:45, 116.424993 39.932957, 116.425028 39.933521,1.0
282,2017-04-01 21:44:18, 116.3699 40.079662, 116.423225 39.951541,77.0
283,2017-04-01 22:08:23, 116.427967 39.993741, 116.438621 39.987176,25.0
284,2017-04-01 22:23:21, 116.44702 39.935074, 116.390241 39.988637,39.0
285,2017-04-01 14:53:24, 116.252833 40.180569, 116.273494 40.045132,49.0
286,2017-04-01 18:56:35, 116.696228 39.767761, 116.696606 39.766482,3.0
287,2017-04-01 09:25:50, 116.307827 39.912318, 116.297983 39.915016,19.0
288,2017-04-01 10:57:37, 116.301728 39.913597, 116.297983 39.915016,7.0
289,2017-04-01 13:10:18, 116.309274 39.918322, 116.419372 39.984947,38.0
290,2017-04-01 13:58:33, 116.308474 39.913819, 116.308306 39.918488,11.0
291,2017-04-01 19:37:54, 116.305456 39.911536, 116.316415 39.916672,23.0
292,2017-04-01 21:07:32, 116.308735 39.91496, 116.621372 40.060685,162.0
293,2017-04-01 10:52:22, 116.460054 39.923441, 116.46299 39.912732,6.0
294,2017-04-01 11:14:47, 116.46292 39.912401, 116.46299 39.912732,0.0
295,2017-04-01 12:17:11, 116.462561 39.912338, 116.462264 39.918453,14.0
296,2017-04-01 21:22:35, 116.519639 40.018638, 116.374479 40.09451,48.0
297,2017-04-01 16:42:36, 116.393795 39.983216, 116.442899 39.905667,31.0
298,2017-04-01 17:38:21, 116.432252 39.940419, 116.442899 39.905667,12.0
299,2017-04-01 18:52:54, 116.442546 39.905925, 116.519712 39.925555,22.0
300,2017-04-01 21:23:06, 116.518336 39.922472, 116.519712 39.925555,7.0
301,2017-04-01 11:11:32, 116.380745 40.08548, 116.340175 40.083664,11.0
302,2017-04-01 19:10:21, 116.424625 39.896737, 116.337277 39.75672,56.0
303,2017-04-01 18:14:28, 116.354872 39.938794, 116.316176 39.997741,38.0
304,2017-04-01 15:09:02, 116.295799 40.004636, 116.316176 39.997741,9.0
305,2017-04-01 10:27:54, 116.311591 39.997637, 116.409289 39.857799,57.0
306,2017-04-01 11:45:48, 116.321275 39.984149, 116.419583 40.057346,38.0
307,2017-04-01 12:38:12, 116.322101 39.984177, 116.340459 39.986548,8.0
308,2017-04-01 10:40:16, 116.323395 39.956315, 116.39451 39.990441,23.0
309,2017-04-01 08:41:30, 116.361088 39.947099, 116.362183 39.95542,20.0
310,2017-04-01 09:41:09, 116.36257 39.953432, 116.345583 39.963826,9.0
311,2017-04-01 10:19:26, 116.347326 39.963643, 116.345583 39.963826,3.0
312,2017-04-01 10:49:39, 116.345448 39.963221, 116.121213 39.93591,101.0
313,2017-04-01 10:59:00, 116.34543 39.963207, 116.112545 39.938597,104.0
314,2017-04-01 11:46:05, 116.330716 39.954303, 116.33015 39.954751,1.0
315,2017-04-01 12:06:05, 116.330402 39.954621, 116.259454 39.913487,39.0
316,2017-04-01 12:33:02, 116.330528 39.954531, 116.350998 39.956657,38.0
317,2017-04-01 13:17:50, 116.330995 39.953653, 116.306528 39.930787,17.0
318,2017-04-01 13:58:13, 116.305402 39.930329, 116.301944 40.048426,68.0
319,2017-04-01 17:39:53, 116.41451 40.078647, 116.43942 39.947009,77.0
320,2017-04-01 17:51:20, 116.41451 40.078647, 116.329743 39.962547,77.0
321,2017-04-01 19:27:21, 116.324383 39.962682, 116.326586 39.961343,5.0
322,2017-04-01 20:29:08, 116.24147 40.089447, 116.242786 40.09371,10.0
323,2017-04-01 11:18:48, 116.438522 39.8649, 116.547036 39.935648,63.0
324,2017-04-01 23:13:45, 116.36584 39.958036, 116.384794 39.871009,51.0
325,2017-04-01 19:15:23, 116.276378 40.045425, 116.301697 39.979197,24.0
326,2017-04-01 23:04:34, 116.479934 40.00228, 116.357878 40.016523,54.0
327,2017-04-01 14:21:48, 116.396499 39.894218, 116.370046 39.886239,7.0
328,2017-04-01 14:44:58, 116.369541 39.886011, 116.396301 39.89437,8.0
329,2017-04-01 11:31:37, 116.377572 40.110902, 116.389303 40.109271,22.0
330,2017-04-01 12:12:36, 116.379934 40.109605, 116.389303 40.109271,17.0
331,2017-04-01 10:49:49, 116.619791 39.99041, 116.41288 39.955845,58.0
332,2017-04-01 18:05:08, 116.331552 39.938448, 116.425765 39.947319,26.0
333,2017-04-01 21:07:13, 116.423817 39.947548, 116.357243 40.095787,90.0
334,2017-04-01 17:37:02, 116.114907 40.070697, 116.323028 39.98912,104.0
335,2017-04-01 18:01:58, 116.126828 40.070104, 116.323028 39.98912,99.0
336,2017-04-01 18:44:07, 116.278785 40.012774, 116.323028 39.98912,23.0
337,2017-04-01 22:09:38, 116.479116 39.996663, 116.32638 39.922647,50.0
338,2017-04-01 12:21:19, 116.230627 39.904673, 116.226169 39.905433,8.0
